Base Set
Jungle
Fossil
Base Set 2
Team Rocket
Gym Heroes
Gym Challenge
Neo Genesis
Neo Discovery
Neo Revelation
Neo Destiny
Legendary Collection
Expedition
Aquapolis
Skyridge
EX Ruby & Sapphire
EX Sandstorm
EX Dragon
EX Team Magma vs Team Aqua
EX Hidden Legends
EX Team Rocket Returns
EX FireRed & LeafGreen
EX Deoxys
EX Emerald
EX Unseen Forces
EX Delta Species
EX Legend Maker
EX Holon Phantoms
EX Crystal Guardians
EX Dragon Frontiers
EX Power Keepers
Diamond & Pearl
Mysterious Treasures
Secret Wonders
Great Encounters
Majestic Dawn
Legends Awakened
Stormfront
Platinum
Rising Rivals
Supreme Victors
Arceus
HeartGold & SoulSilver
Unleashed
Undaunted
Triumphant
Call of Legends
Black & White
Emerging Powers
Noble Victories
Next Destinies
Dark Explorers
Dragons Exalted
Boundaries Crossed
Plasma Storm
Plasma Freeze
Plasma Blast
Legendary Treasures
XY
Flashfire
Furious Fists
Phantom Forces
Primal Clash
Roaring Skies
Ancient Origins
BREAKthrough
BREAKpoint
Fates Collide
Steam Siege
Evolutions
Sun & Moon
Guardians Rising
Burning Shadows
Crimson Invasion
Ultra Prism
Forbidden Light
Celestial Storm
Lost Thunder
Team Up
Unbroken Bonds
Unified Minds
Cosmic Eclipse
Sword & Shield
Rebel Clash
Darkness Ablaze
Vivid Voltage
Battle Styles
Chilling Reign
Evolving Skies
